S_Kakashi,593410,20,260,16:39.8,15.60,676,40.56,75,25,9,27
olli2014,490231,20,291,19:37.46,14.82,760,38.72,102,36,11,21
Keith93,488178,20,207,12:32.02,16.51,546,43.56,50,14,7,27
nbken,434039,20,233,16:33.46,14.07,611,36.90,64,32,7,21
Lohengrin457,418207,17,170,10:33.17,16.10,459,43.49,22,12,4,28
xtacle,417138,18,185,17:09.12,10.78,485,28.27,34,16,5,26
slein,336691,18,185,17:58.73,10.28,481,26.75,67,17,4,18
petesoldout,296054,12,122,08:03.9,15.12,338,41.90,16,4,2,23
Artimisin,288431,17,174,13:38.31,12.75,465,34.09,45,20,7,17
Holymoley,283960,20,214,22:13.29,9.63,569,25.60,83,33,7,11
giodixi,282691,13,138,09:46.82,14.11,382,39.05,24,11,4,20
Serioza,254008,12,124,09:12.11,13.47,335,36.40,22,9,4,18
Anthony_a,221682,19,121,07:34.56,15.97,335,44.21,44,24,3,5
beans409,200919,12,125,09:20.85,13.37,340,36.37,32,16,3,13
Jack1237,185663,12,123,10:14.7,12.00,342,33.38,30,14,7,11
biggerisbetter,177738,9,92,07:54.96,11.62,259,32.71,7,4,7,14
baz1992,175851,12,122,09:54.86,12.30,337,33.99,39,15,3,11
cer367,165400,10,109,12:48.43,8.51,307,23.97,15,15,8,10
meghe,138412,16,164,16:40.52,9.83,442,26.50,79,16,7,8
werking34,128922,11,116,08:40.43,13.37,320,36.89,42,13,8,6
benraz,124001,9,70,05:33.21,12.60,206,37.09,20,7,0,9
OrderedNewPenpal,103314,14,142,17:48.65,7.97,386,21.67,44,19,4,12
xbrucehunter,99979,10,105,08:50.81,11.86,295,33.34,30,8,1,14
KabbageKritter,95777,9,91,08:08.51,11.17,262,32.17,16,10,1,13
Berto171819,93882,17,175,19:13.54,9.10,462,24.03,123,23,2,0
Hybromech,91436,9,94,08:50.64,10.62,269,30.41,29,13,5,6
efs002,90211,10,106,08:54.78,11.89,295,33.09,23,18,9,5
harvardpy,85389,10,102,11:04.23,9.21,282,25.47,25,19,1,9
barryhorse,83833,12,122,12:15.59,9.95,337,27.48,21,23,9,7
jester_65,80648,12,125,10:09.34,12.30,343,33.77,41,24,4,6
Prestitio,72559,7,78,07:40.86,10.15,224,29.16,9,7,1,13
Davita,65006,9,30,03:05.2,9.71,109,35.31,4,3,0,5
Icaranian,62070,12,121,11:44.51,10.30,335,28.53,42,20,9,3
Messa33,59679,13,136,16:13.01,8.38,370,22.81,66,27,4,1
Art0s,59030,9,55,06:18.4,8.72,168,26.63,19,9,2,3
ibbi83,57692,9,32,02:25.57,13.18,113,46.57,5,4,1,4
NivekSuperMan,55373,9,47,03:57.41,11.87,145,36.64,19,5,2,3
cwyost,44244,6,64,09:07.86,7.00,191,20.91,14,5,0,10
norcae2001,43913,10,103,12:31.78,8.22,289,23.06,38,19,5,3
OTSUKISAMAxxx,38340,6,63,08:04.02,7.80,191,23.67,10,6,3,8
Pontus58,37408,9,93,13:38.02,6.82,261,19.14,32,19,5,2
MLGARGENTINO11YT,36350,9,53,05:41.72,9.30,161,28.26,22,12,1,1
Martine110,34053,9,90,10:15.46,8.77,252,24.56,40,16,2,3
Martineet,31624,9,25,03:07.14,8.01,99,31.74,11,3,0,2
BukLau2154,23967,5,54,09:12.9,5.85,167,18.12,16,5,4,4
Savriti,23249,6,67,09:10.88,7.29,199,21.67,28,9,3,3
Mastakilla1,16465,2,28,03:11.02,8.79,84,26.38,0,0,0,7
crazybat6151,14280,5,51,07:56.21,6.42,155,19.52,26,4,3,2
WOWitsameemariou,13466,9,7,01:32.63,4.53,43,27.85,1,1,0,1
jaboiii69,12768,6,60,06:36.81,9.07,175,26.46,21,16,1,1
Erdnasium,12623,5,51,06:18.49,8.08,156,24.72,25,9,0,2
kiriinn,11550,6,60,09:05.73,6.59,180,19.78,28,13,2,0
BunnyParade,11048,2,23,03:00.15,7.66,83,27.64,3,2,0,4
Stevee6g,10460,6,10,02:20.49,4.27,60,25.62,6,0,0,1
Gros_du_macdo,10089,3,26,05:06.39,5.09,99,19.38,9,5,1,1
Skykid108,9055,4,48,06:37.09,7.25,153,23.11,23,8,3,0
DerRamm,8057,3,38,07:05.96,5.35,120,16.90,26,4,0,1
blackwolf2004,7980,4,42,05:52.22,7.15,135,22.99,20,6,2,1
HelmutTettenborn,7832,3,37,13:17.8,2.78,127,9.55,13,3,2,3
Janey918,7796,3,36,05:08.66,6.99,113,21.96,20,6,0,1
olboll,7245,3,38,05:56.76,6.39,128,21.52,10,6,4,1
kirby1806,7161,4,44,06:32.59,6.72,141,21.54,32,4,0,1
PsychicScribble,6820,3,31,03:18.77,9.35,112,33.80,8,6,1,2
jjrolin333,5726,2,26,04:04.5,6.38,92,22.57,16,3,0,1
NicolineHC,5214,2,23,04:27.49,5.15,87,19.51,6,2,3,1
blarg34,5212,1,8,01:42.38,4.68,47,27.54,0,0,0,2
Zak200,5200,9,12,02:30.05,4.79,62,24.798,2,0,0
teddybear121,4935,3,36,04:38.86,7.74,118,25.38,22,4,2,0
Nutha14Space,4472,1,15,02:33.56,5.86,68,26.56,1,1,0,3
Renja_555,4295,9,10,02:02.74,4.88,52,25.42,8,1,0,0
EmojiMovie,4262,2,22,03:58.96,5.52,77,19.33,8,5,0,1
Maya0587,4025,9,9,02:16.85,3.94,54,23.67,5,2,0,0
GalvanFamily,3434,2,24,03:06.24,7.73,90,28.99,7,4,3,0
OfficialCurtz,3041,1,17,03:04.06,5.54,72,23.47,3,2,2,1
IgnisKitty,2972,2,23,03:54.18,5.89,76,19.47,8,6,1,0
