sotos1954,461672,18,182,14:12.28,12.81,487,34.28,31,5,7,30 
S_Kakashi,413813,19,191,12:47.71,14.92,509,39.78,48,20,1,25 
Serioza,412322,18,184,12:24.52,14.82,497,40.05,31,14,7,26 
baz1992,357745,19,191,13:26.56,14.20,507,37.71,59,17,6,20 
Perez0,343050,17,178,11:12.22,15.88,477,42.57,55,17,3,20 
Keith93,335820,17,175,10:07.91,17.27,469,46.28,41,21,4,20 
Holymoley,330600,18,180,20:37.44,8.72,482,23.37,47,19,5,20 
petesoldout,319550,11,111,07:15.27,15.30,310,42.73,3,2,0,26 
po602,314582,18,182,14:54.25,12.21,487,32.67,54,19,6,18 
Nawnim,271168,11,111,08:28.14,13.10,308,36.36,13,4,2,21 
nbken,268770,14,140,10:38.33,13.15,374,35.15,31,11,5,18 
werking34,241929,17,171,12:40.7,13.48,463,36.51,57,27,4,12 
xbrucehunter,234347,18,180,13:48.37,13.03,479,34.69,61,15,3,20 
Anthony_a,224193,19,105,06:57.33,15.09,294,42.26,50,11,3,6 
biggerisbetter,191693,9,94,07:52.12,11.94,260,33.04,3,9,3,16 
ginners2,178872,20,204,14:35.58,13.97,539,36.93,68,37,18,2 
harvardpy,175182,17,174,16:30.58,10.53,457,27.68,41,21,5,19 
Lohengrin457,168478,9,73,04:45.01,15.36,204,42.94,6,6,1,13 
OrderedNewPenpal,147930,11,119,15:15.98,7.79,328,21.48,15,11,6,16 
cer367,147100,12,124,15:04.21,8.22,342,22.69,32,24,4,8 
Artimisin,129084,8,87,07:33.48,11.51,249,32.94,32,6,1,10 
scholli1960,123152,9,65,05:14.17,12.41,189,36.09,20,3,1,9 
meghe,109336,13,131,12:58.96,10.09,358,27.57,56,14,1,11 
Jack1237,103168,9,57,04:29.26,12.70,175,38.99,10,5,3,7 
Messa33,101896,18,184,18:33.33,9.91,490,26.40,106,23,8,2 
kiwiboy65,89543,13,136,12:44.69,10.67,371,29.11,48,22,4,8 
zvone141,87687,7,72,04:59.99,14.40,208,41.60,10,5,4,10 
holderman,80515,19,18,01:23.93,12.86,71,50.75,3,0,1,3 
dgraves27,62880,7,35,08:32.12,4.10,113,13.23,4,2,1,6 
Ryurem,61130,9,22,02:15,9.77,88,39.11,2,0,0,5 
