Serioza,650130,20,338,23:13.63,14.55,875,37.67,102,42,16,26
oosula1,596705,20,229,15:42.63,14.57,605,38.50,46,15,7,33
Torbsm9,569898,20,264,17:19.01,15.24,692,39.96,61,32,9,28
werking34,423406,20,265,18:10.42,14.58,698,38.40,102,38,5,18
baz1992,410258,18,183,12:41.35,14.42,490,38.61,31,18,4,26
Steeldriversgirl,404001,20,233,17:59.22,12.95,614,34.13,86,32,5,17
Lohengrin457,389209,20,233,14:31.81,16.03,614,42.25,71,35,12,14
Nawnim,378130,16,162,11:40.91,13.86,433,37.06,22,12,4,26
biggerisbetter,377672,15,156,12:14.61,12.74,415,33.89,21,8,1,29
Holymoley,347980,17,175,19:36.46,8.92,467,23.81,36,24,1,22
Anthony_a,341136,19,197,12:59.64,15.16,528,40.63,86,31,7,7
nbken,311446,20,201,15:27.66,13.00,531,34.34,69,23,10,14
xtacle,309455,18,180,16:32.05,10.88,484,29.27,53,19,3,20
Keith93,279185,12,129,08:11.93,15.73,357,43.54,26,7,3,20
GiwrgosCb,270261,19,66,03:47.47,17.40,200,52.75,10,5,2,10
Jack1237,261420,13,137,10:01.3,13.67,376,37.51,40,8,3,18
Perez0,260713,14,149,09:12.79,16.17,403,43.74,32,20,3,17
xbrucehunter,230760,17,174,15:23.01,11.31,468,30.42,49,16,3,21
JM1986,227330,18,187,15:39.37,11.94,491,31.36,85,20,6,11
slein,168869,16,166,15:52.52,10.45,445,28.03,86,21,2,8
Artimisin,165310,12,124,10:20.39,11.99,341,32.97,27,19,5,11
olli2014,153749,9,79,06:10.14,12.80,232,37.60,16,5,3,11
WTS,144694,11,114,10:18.92,11.05,320,31.02,34,15,6,8
scholli1960,134741,10,101,08:04.5,12.50,284,35.17,33,12,4,8
sotos1954,131559,9,70,06:31.6,10.72,210,32.17,15,2,5,9
margotpants222,126255,13,134,12:54.37,10.38,361,27.97,48,18,6,8
meghe,123483,16,165,16:06.6,10.24,445,27.62,80,15,9,7
cwyost,113824,9,71,08:40.71,8.18,202,23.27,19,10,0,8
Caraseeque,99506,10,105,10:53.58,9.63,290,26.62,31,18,2,8
Martineet,89644,9,36,03:49.82,9.39,122,31.85,3,1,1,7
efs002,80238,8,51,04:31.35,11.27,152,33.61,7,7,2,6
Ericmtl,76342,9,50,03:37.12,13.81,156,43.11,9,9,1,5
HelmutTettenborn,76237,11,118,33:55.89,3.47,321,9.46,31,16,5,10
aarontj,75103,12,125,13:38.47,9.16,342,25.07,60,19,1,6
cpham87,71256,9,51,04:45.11,10.73,150,31.56,11,6,4,4
hurgaty_burgaty,63065,9,91,08:55.02,10.20,258,28.93,26,6,3,11
sherbet128,55598,10,108,11:16.71,9.57,295,26.15,38,20,2,6
Stevee6g,47572,6,46,05:35.01,8.23,145,25.96,7,7,3,4
WCTIV,45905,10,101,09:59.59,10.10,281,28.11,37,18,4,4
elpee,45582,8,88,08:55.69,9.85,249,27.88,28,16,4,4
KabbageKritter,41163,8,80,07:08.2,11.20,235,32.92,23,8,3,8
kavulanzafuego,38983,11,116,13:40.55,8.48,323,23.61,61,21,3,1
TeltrisIsRacist,37559,7,70,05:48.06,12.06,207,35.68,14,9,2,8
Martine110,35782,10,107,11:25.46,9.36,292,25.55,47,22,4,1
Arlyn57,30146,7,72,10:29.2,6.86,212,20.21,21,12,5,3
lolification,27875,5,52,05:09.02,10.09,166,32.23,10,2,2,8
NinjaRelsh,25952,7,75,10:46.03,6.96,214,19.87,32,8,5,3
Mastakilla1,25383,3,38,04:28.94,8.47,127,28.33,2,0,0,9
pk1789,23443,6,60,07:13.38,8.30,183,25.33,16,9,2,5
foxyjh,23079,9,93,11:05.43,8.38,257,23.17,70,10,1,0
smhale,18453,4,12,02:27.72,4.87,65,26.40,0,0,0,3
lalo_contreras,18422,4,42,12:20.52,3.40,130,10.53,8,1,4,5
esmeraldita12,18404,9,34,05:39.12,6.01,117,20.70,16,6,2,0
shaun106,18175,5,59,06:32.22,9.02,183,27.99,31,7,2,2
loli345,16839,8,15,02:53.79,5.17,67,23.13,6,1,1,1
harvardpy,15427,4,42,05:17.72,7.93,137,25.87,11,4,1,5
HarleyQQ77,12958,2,24,02:41.88,8.89,95,35.21,0,0,0,6
MkZero,10039,4,43,06:21.09,6.77,138,21.72,14,8,3,1
lata_bich,10015,7,23,02:56.52,7.81,84,28.55,12,4,1,0
makar0nik0ngen,8654,3,19,03:24.7,5.56,80,23.44,8,2,1,1
dani074j,8187,3,31,06:39.43,4.65,106,15.92,10,5,1,2
ggCorrupted,7536,2,8,02:14.68,3.56,47,20.93,0,0,0,2
Mazmo,7445,3,33,04:26.94,7.41,113,25.39,11,4,2,2
Cannon151,6838,2,29,04:31.16,6.41,104,23.01,14,4,1,1
gingerboy123,6614,2,29,04:12.68,6.88,104,24.69,9,8,0,1
Skillz_00,6464,4,5,01:51.13,2.69,41,22.13,1,0,0,1
