iToomey,673378,20,324,18:42.63,17.31,840,44.89,74,51,16,25
Lohengrin457,590809,20,328,19:35.57,16.74,854,43.58,110,46,14,21
Thor42,551934,19,193,12:41.91,15.19,516,40.63,30,8,1,36
xtacle,476894,20,253,22:05.15,11.45,660,29.88,65,24,16,23
Artimisin,413661,20,215,16:48.06,12.79,565,33.62,65,20,6,23
Keith93,380810,16,161,09:31.88,16.89,435,45.63,18,13,3,27
nbken,341980,18,184,13:38.32,13.49,486,35.63,45,21,7,19
beans409,303625,20,203,14:13.98,14.26,530,37.23,69,25,8,15
Holymoley,295580,14,147,16:53.24,8.70,401,23.74,23,13,6,20
olli2014,280012,16,166,10:35.97,15.66,440,41.51,36,21,8,16
Fauser,254064,11,116,12:03.95,9.61,321,26.60,23,4,3,19
nicolaiev,243840,20,215,15:18.1,14.05,575,37.57,82,24,3,19
jojojojoman,243551,14,140,13:57.75,10.02,381,27.28,31,15,5,16
biggerisbetter,227975,10,101,10:23.46,9.72,269,25.88,5,1,6,19
tlq_Lycia,169519,20,214,16:33.45,12.92,566,34.18,90,38,8,6
Lestetrsz1,166714,9,77,07:35.99,10.13,223,29.34,23,1,0,13
Anthony_a,157833,19,55,03:38.85,15.07,173,47.42,17,6,2,5
harvardpy,157270,11,116,11:02.71,10.50,320,28.97,12,6,4,20
meghe,147308,15,154,16:22.02,9.40,410,25.05,53,12,3,17
Jezza25,136155,12,129,09:06.43,14.16,354,38.87,32,13,5,14
zvone141,130110,9,98,06:30.58,15.05,279,42.85,16,5,4,15
werking34,122043,9,88,06:21.38,13.84,254,39.96,32,12,0,8
cwyost,113454,9,82,09:45.34,8.40,235,24.08,23,11,3,7
WCTIV,98546,14,143,13:21.9,10.69,388,29.03,57,18,6,8
Imperator,81443,9,99,11:54.34,8.31,272,22.84,29,11,4,9
HootieTetris,80764,12,120,12:44.18,9.42,324,25.43,47,16,7,5
holderman,79288,19,20,01:23.48,14.37,75,53.90,4,2,0,3
hurgaty_burgaty,63575,10,106,11:46.48,9.00,298,25.30,53,12,3,5
ibbi83,58023,9,29,02:06.7,13.73,100,47.35,1,3,2,4
InkyMess,52206,10,109,11:52.57,9.17,301,25.34,33,15,6,7
dgraves27,45280,7,32,07:11.27,4.45,115,15.99,9,2,1,4
Arlyn57,39976,8,88,15:49.62,5.56,249,15.73,36,15,2,4
Mattyzagzig,39864,9,36,03:53.39,9.25,120,30.84,18,2,2,2
XSasenX,35266,9,44,05:03.62,8.69,137,27.07,15,8,3,1
mercantil,34745,8,84,11:24.55,7.36,245,21.47,37,9,7,2
Stevee6g,33935,6,30,04:09.31,7.21,101,24.30,6,3,2,3
Shurbelwar,32604,8,81,09:02.62,8.95,229,25.32,36,15,1,3
FenrisWolf,29027,9,18,01:46.59,10.13,80,45.03,6,2,0,2
